,game_id,team_id,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
340,9206,17,15,34,12,5,10,13,107,39,90,43.3,14,18,77.8,15,39,38.5,4,42,46,24,20,8,14,2,3,265:00
341,9206,17,14,40,7,8,13,15,104,39,98,39.8,14,17,82.4,12,44,27.3,8,43,51,22,21,4,11,3,-3,265:00
342,9207,15,16,54,5,14,11,21,99,39,83,47.0,10,11,90.9,11,38,28.9,11,34,45,24,16,6,18,6,-15,240:00
343,9207,15,16,48,20,10,17,21,114,44,90,48.9,12,15,80.0,14,29,48.3,10,28,38,25,11,10,8,3,15,240:00
344,9208,23,11,46,6,9,13,15,113,39,80,48.8,24,36,66.7,11,28,39.3,10,39,49,23,19,6,11,3,3,240:00
345,9208,23,5,46,12,15,11,13,110,39,93,41.9,19,19,100,13,35,37.1,8,34,42,22,25,8,8,4,-3,240:00
346,9210,22,13,30,23,10,25,10,124,45,88,51.1,11,16,68.8,23,48,47.9,6,33,39,24,23,10,11,5,17,240:00
347,9210,22,10,48,0,12,17,10,107,38,84,45.2,17,23,73.9,14,39,35.9,9,33,42,33,15,5,17,3,-17,240:00
348,9211,16,4,50,7,12,2,13,103,40,85,47.1,13,20,65.0,10,30,33.3,8,34,42,24,22,6,16,5,-21,240:00
349,9211,16,11,62,22,12,18,13,124,47,89,52.8,15,20,75.0,15,37,40.5,8,36,44,26,18,11,9,4,21,240:00
350,9212,19,27,50,16,12,18,18,113,39,82,47.6,24,30,80.0,11,32,34.4,11,42,53,22,21,10,15,5,10,240:00
351,9212,19,23,28,10,9,18,15,103,31,82,37.8,26,28,92.9,15,38,39.5,5,33,38,18,21,9,13,6,-10,240:00
352,9213,41,14,56,12,11,19,13,105,42,89,47.2,16,21,76.2,5,24,20.8,7,32,39,20,22,8,10,3,-14,240:00
353,9213,41,14,68,14,10,17,13,119,45,82,54.9,21,29,72.4,8,26,30.8,6,33,39,25,21,7,11,6,14,240:00
354,9214,10,28,60,10,12,10,12,113,40,81,49.4,26,30,86.7,7,25,28.0,6,31,37,20,23,6,12,4,-9,240:00
355,9214,10,6,68,15,12,11,12,122,45,91,49.5,25,28,89.3,7,32,21.9,8,33,41,26,21,6,8,7,9,240:00
356,9215,27,14,42,2,6,17,9,105,39,89,43.8,17,20,85.0,10,34,29.4,5,33,38,19,22,10,9,4,-9,240:00
357,9215,27,12,48,20,14,9,9,114,44,89,49.4,15,16,93.8,11,23,47.8,10,38,48,21,15,4,14,3,9,240:00
358,9216,6,18,54,4,13,10,7,120,43,90,47.8,22,24,91.7,12,29,41.4,10,41,51,30,19,8,17,7,-7,265:00
359,9216,6,22,60,11,17,22,8,127,48,113,42.5,17,19,89.5,14,36,38.9,22,36,58,30,17,10,12,5,7,265:00
360,9217,24,8,40,18,26,29,8,116,39,83,47.0,21,25,84.0,17,36,47.2,15,25,40,25,26,8,11,6,13,240:00
361,9217,24,4,46,2,14,15,8,103,34,68,50.0,24,30,80.0,11,32,34.4,5,24,29,29,25,4,17,4,-13,240:00
362,9218,41,14,50,5,6,20,8,98,40,82,48.8,12,19,63.2,6,21,28.6,6,26,32,22,21,11,16,3,-20,240:00
