,id,season,date,arena,H_team,A_team_id,A_team,A_team_id,H_score,A_score,ref1,ref2,ref3,ties,leadChange,nugget
23,8903,2018,2021-11-04T02:00:00.000Z,Chase Center,Golden State Warriors,11,Charlotte Hornets,5,114,92,JB DeRosa,Derek Richardson,Kevin Scott,9,9,
24,8904,2018,2021-11-04T02:00:00.000Z,Golden 1 Center,Sacramento Kings,30,New Orleans Pelicans,23,112,99,Tony Brothers,Sean Corbin,Andy Nagy,5,7,
25,8905,2018,2021-11-04T23:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Philadelphia 76ers,27,98,109,Pat Fraher,Tre Maddox,Ray Acosta,9,14,
26,8906,2018,2021-11-04T23:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Utah Jazz,40,98,116,Derrick Collins,Mark Lindsay,John Butler,3,7,
27,8907,2018,2021-11-04T23:30:00.000Z,FTX Arena,Miami Heat,20,Boston Celtics,2,78,95,Scott Foster,Nick Buchert,Mitchell Ervin,1,1,
28,8908,2018,2021-11-05T02:00:00.000Z,Footprint Center,Phoenix Suns,28,Houston Rockets,14,123,111,James Capers,Michael Smith,Andy Nagy,1,7,
29,8909,2018,2021-11-05T02:30:00.000Z,STAPLES Center,Los Angeles Lakers,17,Oklahoma City Thunder,25,104,107,Kevin Scott,Lauren Holtkamp,John Conley,4,3,
30,8910,2018,2021-11-05T23:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Brooklyn Nets,4,90,96,Bennie Adams,Eric Lewis,Brian Forte,5,4,
31,8911,2018,2021-11-05T23:00:00.000Z,Amway Center,Orlando Magic,26,San Antonio Spurs,31,89,102,Zach Zarba,Nick Buchert,Brandon Adair,1,2,
32,8912,2018,2021-11-05T23:00:00.000Z,Capital One Arena,Washington Wizards,41,Memphis Grizzlies,19,115,87,Kevin Cutler,Gediminas Petraitis,Phenizee Ransom,4,3,
33,8913,2018,2021-11-05T23:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Cleveland Cavaliers,7,101,102,Curtis Blair,J.T. Orr,Jenna Schroeder,8,1,
34,8914,2018,2021-11-05T23:30:00.000Z,Fiserv Forum,Milwaukee Bucks,21,New York Knicks,24,98,113,Tom Washington,Ed Malloy,Scott Twardoski,2,1,
35,8915,2018,2021-11-06T00:00:00.000Z,Target Center,Minnesota Timberwolves,22,LA Clippers,16,84,104,Marat Kogut,Ben Taylor,CJ Washington,2,4,
36,8916,2018,2021-11-06T02:00:00.000Z,Chase Center,Golden State Warriors,11,New Orleans Pelicans,23,126,85,Leon Wood,David Guthrie,Jacyn Goble,4,6,
37,8917,2018,2021-11-06T02:00:00.000Z,Moda Center,Portland Trail Blazers,29,Indiana Pacers,15,110,106,Tony Brothers,Sean Corbin,Justin Van Duyne,4,10,
38,8918,2018,2021-11-06T02:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Charlotte Hornets,5,140,110,Rodney Mott,Tyler Ford,Danielle Scott,0,4,
39,8919,2018,2021-11-06T21:00:00.000Z,Ball Arena,Denver Nuggets,9,Houston Rockets,14,95,94,Josh Tiven,Lauren Holtkamp,Evan Scott,6,8,
40,8920,2018,2021-11-06T23:30:00.000Z,FTX Arena,Miami Heat,20,Utah Jazz,40,118,115,Zach Zarba,Ray Acosta,Brandon Adair,6,8,
41,8921,2018,2021-11-07T00:00:00.000Z,United Center,Chicago Bulls,6,Philadelphia 76ers,27,105,114,Bill Kennedy,Brett Nansel,Dedric Taylor,8,9,
42,8922,2018,2021-11-07T00:30:00.000Z,American Airlines Center,Dallas Mavericks,8,Boston Celtics,2,107,104,Scott Wall,Tre Maddox,John Butler,1,2,
43,8923,2018,2021-11-07T02:00:00.000Z,Footprint Center,Phoenix Suns,28,Atlanta Hawks,1,121,117,Karl Lane,Kevin Scott,John Conley,20,13,
44,8924,2018,2021-11-07T02:30:00.000Z,Moda Center,Portland Trail Blazers,29,Los Angeles Lakers,17,105,90,James Capers,Michael Smith,Andy Nagy,1,0,
45,8925,2018,2021-11-07T20:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Brooklyn Nets,4,103,116,Brian Forte,Kevin Cutler,Nate Green,8,4,
46,8926,2018,2021-11-07T23:00:00.000Z,Madison Square Garden,New York Knicks,24,Cleveland Cavaliers,7,109,126,Pat Fraher,Suyash Mehta,Natalie Sago,9,14,
47,8927,2018,2021-11-07T23:00:00.000Z,Amway Center,Orlando Magic,26,Utah Jazz,40,107,100,Courtney Kirkland,J.T. Orr,CJ Washington,5,7,
48,8928,2018,2021-11-07T23:00:00.000Z,Capital One Arena,Washington Wizards,41,Milwaukee Bucks,21,101,94,JB DeRosa,Scott Foster,Jonathan Sterling,7,18,
49,8929,2018,2021-11-07T23:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Indiana Pacers,15,91,94,Sean Wright,Marat Kogut,Mitchell Ervin,3,6,
50,8930,2018,2021-11-08T00:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,San Antonio Spurs,31,99,94,Bennie Adams,Derrick Collins,James Williams,2,5,
51,8931,2018,2021-11-08T01:30:00.000Z,Chase Center,Golden State Warriors,11,Houston Rockets,14,120,107,Tony Brothers,Scott Twardoski,Tyler Ford,4,3,
52,8932,2018,2021-11-08T02:00:00.000Z,STAPLES Center,LA Clippers,16,Charlotte Hornets,5,120,106,David Guthrie,Matt Myers,Jacyn Goble,4,19,
53,8933,2018,2021-11-09T00:00:00.000Z,Wells Fargo Center,Philadelphia 76ers,27,New York Knicks,24,96,103,Scott Wall,Marc Davis,Brent Barnaky,3,7,
54,8934,2018,2021-11-09T01:00:00.000Z,United Center,Chicago Bulls,6,Brooklyn Nets,4,118,95,JB DeRosa,Tre Maddox,Brett Nansel,7,8,
55,8935,2018,2021-11-09T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Minnesota Timberwolves,22,125,118,Leon Wood,Bill Kennedy,Dedric Taylor,15,13,
56,8936,2018,2021-11-09T01:30:00.000Z,American Airlines Center,Dallas Mavericks,8,New Orleans Pelicans,23,108,92,Mark Lindsay,Nick Buchert,Lauren Holtkamp,4,4,
57,8937,2018,2021-11-09T02:00:00.000Z,Ball Arena,Denver Nuggets,9,Miami Heat,20,113,96,Michael Smith,Kevin Scott,John Conley,1,4,
58,8938,2018,2021-11-09T03:00:00.000Z,Chase Center,Golden State Warriors,11,Atlanta Hawks,1,127,113,James Capers,Marat Kogut,Matt Myers,7,8,
59,8939,2018,2021-11-09T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Phoenix Suns,28,104,109,Josh Tiven,Jacyn Goble,Evan Scott,3,8,
60,9094,2018,2021-11-30T01:00:00.000Z,Toyota Center,Houston Rockets,14,Oklahoma City Thunder,25,102,89,John Goble,Mitchell Ervin,Tyler Ricks,6,2,
61,9095,2018,2021-11-30T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Indiana Pacers,15,100,98,Eric Lewis,J.T. Orr,Jonathan Sterling,7,11,
62,9096,2018,2021-11-30T01:30:00.000Z,American Airlines Center,Dallas Mavericks,8,Cleveland Cavaliers,7,96,114,Marat Kogut,Brent Barnaky,Tyler Ford,4,3,
63,9097,2018,2021-11-30T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Washington Wizards,41,116,99,Derrick Collins,Courtney Kirkland,Brett Nansel,7,14,
64,9098,2018,2021-11-30T02:00:00.000Z,Vivint Arena,Utah Jazz,40,Portland Trail Blazers,29,129,107,Josh Tiven,Karl Lane,John Butler,3,3,
65,9099,2018,2021-11-30T03:30:00.000Z,STAPLES Center,LA Clippers,16,New Orleans Pelicans,23,104,123,Leon Wood,Bennie Adams,Zach Zarba,1,7,
66,9100,2018,2021-12-01T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,New York Knicks,24,112,110,Scott Foster,Mark Lindsay,Jason Goldenberg,9,17,
67,9101,2018,2021-12-01T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Memphis Grizzlies,19,91,98,Rodney Mott,Tom Washington,John Conley,0,0,
68,9102,2018,2021-12-01T03:00:00.000Z,Footprint Center,Phoenix Suns,28,Golden State Warriors,11,104,96,Derek Richardson,Josh Tiven,Karl Lane,10,7,
69,9103,2018,2021-12-01T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,Detroit Pistons,10,110,92,Kevin Scott,Justin Van Duyne,Gediminas Petraitis,5,6,
70,9104,2018,2021-12-01T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Los Angeles Lakers,17,92,117,Bill Kennedy,Brian Forte,Mousa Dagher,4,3,
71,9105,2018,2021-12-02T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Atlanta Hawks,1,111,114,Tony Brothers,Brent Barnaky,Dannica Mosher,7,14,
72,9106,2018,2021-12-02T00:00:00.000Z,Amway Center,Orlando Magic,26,Denver Nuggets,9,108,103,James Williams,Dedric Taylor,Suyash Mehta,3,1,
73,9107,2018,2021-12-02T00:00:00.000Z,Capital One Arena,Washington Wizards,41,Minnesota Timberwolves,22,115,107,Sean Wright,Lauren Holtkamp,Brandon Adair,19,21,
74,9108,2018,2021-12-02T00:30:00.000Z,TD Garden,Boston Celtics,2,Philadelphia 76ers,27,88,87,JB DeRosa,Kane Fitzgerald,Aaron Smith,15,16,
75,9109,2018,2021-12-02T00:30:00.000Z,FTX Arena,Miami Heat,20,Cleveland Cavaliers,7,85,111,Sean Corbin,David Guthrie,Jonathan Sterling,2,2,
76,9110,2018,2021-12-02T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Charlotte Hornets,5,127,125,James Capers,Brett Nansel,Natalie Sago,9,13,
77,9111,2018,2021-12-02T01:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,Dallas Mavericks,8,107,139,Marc Davis,J.T. Orr,Andy Nagy,1,2,
78,9112,2018,2021-12-02T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Houston Rockets,14,110,114,Zach Zarba,CJ Washington,Mitchell Ervin,2,3,
79,9113,2018,2021-12-02T03:30:00.000Z,STAPLES Center,LA Clippers,16,Sacramento Kings,30,115,124,Derrick Collins,Courtney Kirkland,Robert Hussey,2,4,
80,9114,2018,2021-12-03T00:30:00.000Z,Madison Square Garden,New York Knicks,24,Chicago Bulls,6,115,119,Ben Taylor,Tyler Ford,Natalie Sago,7,7,
81,9115,2018,2021-12-03T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Milwaukee Bucks,21,97,93,Pat Fraher,Curtis Blair,Cheryl Flores,6,8,
82,9116,2018,2021-12-03T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Oklahoma City Thunder,25,152,79,Josh Tiven,Karl Lane,Evan Scott,0,0,
83,9117,2018,2021-12-03T02:00:00.000Z,Footprint Center,Phoenix Suns,28,Detroit Pistons,10,114,103,Michael Smith,Eric Lewis,Matt Myers,2,3,
84,9118,2018,2021-12-03T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,San Antonio Spurs,31,83,114,Brian Forte,Tre Maddox,Phenizee Ransom,0,0,
85,9119,2018,2021-12-04T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Miami Heat,20,104,113,JB DeRosa,Brett Nansel,James Williams,1,1,
86,9120,2018,2021-12-04T00:00:00.000Z,Capital One Arena,Washington Wizards,41,Cleveland Cavaliers,7,101,116,Matt Boland,John Goble,CJ Washington,4,4,
87,9121,2018,2021-12-04T00:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Philadelphia 76ers,27,96,98,David Guthrie,Tyler Ford,Mousa Dagher,3,3,
88,9122,2018,2021-12-04T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,Minnesota Timberwolves,22,110,105,Kane Fitzgerald,Nick Buchert,Dedric Taylor,10,26,
89,9123,2018,2021-12-04T01:00:00.000Z,Toyota Center,Houston Rockets,14,Orlando Magic,26,118,116,Sean Wright,Mark Lindsay,Marat Kogut,6,11,
90,9124,2018,2021-12-04T01:30:00.000Z,American Airlines Center,Dallas Mavericks,8,New Orleans Pelicans,23,91,107,Tony Brothers,Brandon Adair,Jacyn Goble,4,5,
91,9125,2018,2021-12-04T02:00:00.000Z,Vivint Arena,Utah Jazz,40,Boston Celtics,2,137,130,Leon Wood,Derrick Collins,Courtney Kirkland,12,20,
92,9126,2018,2021-12-04T03:00:00.000Z,Chase Center,Golden State Warriors,11,Phoenix Suns,28,118,96,Bennie Adams,Bill Kennedy,J.T. Orr,1,3,
93,9127,2018,2021-12-04T03:00:00.000Z,STAPLES Center,Los Angeles Lakers,17,LA Clippers,16,115,119,Eric Lewis,Kevin Cutler,Justin Van Duyne,3,0,
94,9128,2018,2021-12-04T18:00:00.000Z,Madison Square Garden,New York Knicks,24,Denver Nuggets,9,99,113,Tom Washington,Brent Barnaky,Andy Nagy,2,0,
95,9129,2018,2021-12-05T01:00:00.000Z,Barclays Center,Brooklyn Nets,4,Chicago Bulls,6,107,111,Marc Davis,Mitchell Ervin,Gediminas Petraitis,1,5,
96,9130,2018,2021-12-05T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Miami Heat,20,124,102,Derek Richardson,Tre Maddox,Kevin Scott,0,0,
97,9131,2018,2021-12-05T01:30:00.000Z,American Airlines Center,Dallas Mavericks,8,Memphis Grizzlies,19,90,97,Sean Wright,Mark Lindsay,Suyash Mehta,0,0,
98,9132,2018,2021-12-05T01:30:00.000Z,Chase Center,Golden State Warriors,11,San Antonio Spurs,31,107,112,James Capers,Sean Corbin,Robert Hussey,1,6,
99,9133,2018,2021-12-05T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,Boston Celtics,2,117,145,Rodney Mott,Kevin Cutler,Matt Myers,2,2,
100,9134,2018,2021-12-05T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,LA Clippers,16,104,99,Scott Foster,Michael Smith,Phenizee Ransom,6,5,
101,9135,2018,2021-12-05T20:30:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Utah Jazz,40,108,109,Pat Fraher,Curtis Blair,Matt Kallio,13,14,
102,9136,2018,2021-12-05T23:00:00.000Z,State Farm Arena,Atlanta Hawks,1,Charlotte Hornets,5,127,130,Zach Zarba,Brian Forte,Aaron Smith,10,17,
103,9137,2018,2021-12-05T23:00:00.000Z,Scotiabank Arena,Toronto Raptors,38,Washington Wizards,41,102,90,Kane Fitzgerald,Tyler Ford,Mousa Dagher,1,1,
104,9138,2018,2021-12-06T00:00:00.000Z,Toyota Center,Houston Rockets,14,New Orleans Pelicans,23,118,108,Derrick Collins,Eric Lewis,Jenna Reneau,1,4,
105,9139,2018,2021-12-07T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Philadelphia 76ers,27,124,127,Josh Tiven,Brandon Adair,Jacyn Goble,7,11,
106,9140,2018,2021-12-07T00:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Oklahoma City Thunder,25,103,114,JB DeRosa,Courtney Kirkland,John Conley,1,1,
107,9141,2018,2021-12-07T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Washington Wizards,41,116,110,Derek Richardson,David Guthrie,Mitchell Ervin,2,3,
108,9142,2018,2021-12-07T00:30:00.000Z,FTX Arena,Miami Heat,20,Memphis Grizzlies,19,90,105,Bill Kennedy,Brian Forte,Jenna Schroeder,1,0,
109,9143,2018,2021-12-07T01:00:00.000Z,United Center,Chicago Bulls,6,Denver Nuggets,9,109,97,Sean Wright,Kevin Cutler,Nick Buchert,6,7,
110,9144,2018,2021-12-07T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Cleveland Cavaliers,7,112,104,Mark Lindsay,Lauren Holtkamp,Jason Goldenberg,4,4,
111,9145,2018,2021-12-07T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Atlanta Hawks,1,110,121,Tre Maddox,Kevin Scott,Phenizee Ransom,1,3,
112,9146,2018,2021-12-07T02:00:00.000Z,Footprint Center,Phoenix Suns,28,San Antonio Spurs,31,108,104,James Williams,Justin Van Duyne,Suyash Mehta,6,4,
113,9147,2018,2021-12-07T03:00:00.000Z,Chase Center,Golden State Warriors,11,Orlando Magic,26,126,95,Rodney Mott,Michael Smith,Tyler Ricks,1,1,
114,9148,2018,2021-12-07T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,LA Clippers,16,90,102,Sean Corbin,Ben Taylor,John Butler,8,11,
115,9149,2018,2021-12-08T00:30:00.000Z,American Airlines Center,Dallas Mavericks,8,Brooklyn Nets,4,99,102,Tom Washington,Zach Zarba,Aaron Smith,4,3,
116,9150,2018,2021-12-08T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,New York Knicks,24,109,121,Derrick Collins,Eric Lewis,Jamahl Ralls,8,7,
117,9151,2018,2021-12-08T03:00:00.000Z,STAPLES Center,Los Angeles Lakers,17,Boston Celtics,2,117,102,Scott Foster,Curtis Blair,J.T. Orr,7,11,
118,9152,2018,2021-12-09T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Philadelphia 76ers,27,106,110,Derek Richardson,Bill Kennedy,Karl Lane,12,16,
119,9153,2018,2021-12-09T00:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Chicago Bulls,6,115,92,Courtney Kirkland,Nick Buchert,Jonathan Sterling,4,6,
120,9154,2018,2021-12-09T00:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Washington Wizards,41,116,119,James Williams,Cheryl Flores,Jacyn Goble,11,8,
121,9155,2018,2021-12-09T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,New York Knicks,24,122,102,JB DeRosa,Marc Davis,Brandon Adair,0,1,
122,9156,2018,2021-12-09T00:30:00.000Z,FTX Arena,Miami Heat,20,Milwaukee Bucks,21,113,104,Kane Fitzgerald,Mitchell Ervin,Dedric Taylor,12,16,
123,9157,2018,2021-12-09T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Oklahoma City Thunder,25,109,110,David Guthrie,Mark Lindsay,CJ Washington,8,9,
124,9158,2018,2021-12-09T01:00:00.000Z,Toyota Center,Houston Rockets,14,Brooklyn Nets,4,114,104,Josh Tiven,Tyler Ford,Brandon Schwab,2,2,
125,9159,2018,2021-12-09T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Dallas Mavericks,8,96,104,Sean Corbin,Matt Boland,John Goble,10,9,
126,9160,2018,2021-12-09T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Utah Jazz,40,104,136,Kevin Cutler,Gediminas Petraitis,Phenizee Ransom,7,13,
127,9163,2018,2021-12-09T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Orlando Magic,26,142,130,J.T. Orr,Ben Taylor,Suyash Mehta,6,12,
128,9164,2018,2021-12-09T03:30:00.000Z,STAPLES Center,LA Clippers,16,Boston Celtics,2,114,111,Michael Smith,Tre Maddox,Andy Nagy,5,8,
129,9165,2018,2021-12-10T00:00:00.000Z,Wells Fargo Center,Philadelphia 76ers,27,Utah Jazz,40,96,118,Rodney Mott,Leon Wood,Brent Barnaky,8,10,
130,9166,2018,2021-12-10T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Los Angeles Lakers,17,108,95,Tom Washington,Bennie Adams,Pat Fraher,8,10,
131,9167,2018,2021-12-10T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Denver Nuggets,9,123,111,Kevin Scott,Tyler Ford,Mousa Dagher,0,0,
132,9168,2018,2021-12-11T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Sacramento Kings,30,124,123,Sean Wright,Dedric Taylor,John Butler,6,12,
133,9169,2018,2021-12-11T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Dallas Mavericks,8,106,93,Eric Lewis,Nick Buchert,Matt Kallio,4,11,
134,9170,2018,2021-12-11T00:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Brooklyn Nets,4,105,113,Ben Taylor,James Williams,Lauren Holtkamp,14,9,
135,9171,2018,2021-12-11T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,New York Knicks,24,90,87,Courtney Kirkland,Karl Lane,Jonathan Sterling,6,5,
136,9172,2018,2021-12-11T01:00:00.000Z,Toyota Center,Houston Rockets,14,Milwaukee Bucks,21,114,123,Matt Boland,Zach Zarba,Matt Myers,10,9,
137,9173,2018,2021-12-11T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Cleveland Cavaliers,7,106,123,Derek Richardson,David Guthrie,Aaron Smith,0,0,
138,9174,2018,2021-12-11T01:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,Detroit Pistons,10,109,93,Bill Kennedy,Curtis Blair,CJ Washington,3,4,
139,9175,2018,2021-12-11T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Los Angeles Lakers,17,95,116,Sean Corbin,John Goble,Ray Acosta,3,3,
140,9176,2018,2021-12-11T03:00:00.000Z,Footprint Center,Phoenix Suns,28,Boston Celtics,2,111,90,James Capers,Kevin Cutler,Natalie Sago,2,4,
141,9177,2018,2021-12-11T20:30:00.000Z,STAPLES Center,LA Clippers,16,Orlando Magic,26,106,104,Tyler Ford,Jacyn Goble,Danielle Scott,9,12,
142,9178,2018,2021-12-12T00:00:00.000Z,Capital One Arena,Washington Wizards,41,Utah Jazz,40,98,123,Scott Foster,Nick Buchert,Justin Van Duyne,11,12,
143,9179,2018,2021-12-12T01:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Sacramento Kings,30,117,103,Bennie Adams,Eric Lewis,Mark Lindsay,0,0,
144,9180,2018,2021-12-12T01:00:00.000Z,FTX Arena,Miami Heat,20,Chicago Bulls,6,118,92,Rodney Mott,Derrick Collins,John Conley,1,0,
145,9181,2018,2021-12-12T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Houston Rockets,14,113,106,Tony Brothers,J.T. Orr,Suyash Mehta,0,1,
146,9182,2018,2021-12-12T01:30:00.000Z,Wells Fargo Center,Philadelphia 76ers,27,Golden State Warriors,11,102,93,Ed Malloy,David Guthrie,Marat Kogut,9,11,
147,9183,2018,2021-12-12T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Denver Nuggets,9,112,127,Tom Washington,Kane Fitzgerald,Jenna Schroeder,3,6,
148,9184,2018,2021-12-12T17:00:00.000Z,Madison Square Garden,New York Knicks,24,Milwaukee Bucks,21,97,112,Brian Forte,Josh Tiven,Brett Nansel,0,0,
149,9185,2018,2021-12-12T23:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Brooklyn Nets,4,104,116,Karl Lane,Kevin Scott,Ray Acosta,4,6,
150,9186,2018,2021-12-13T00:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Dallas Mavericks,8,84,103,Bill Kennedy,Natalie Sago,John Butler,1,2,
151,9187,2018,2021-12-13T00:00:00.000Z,AT&T Center,San Antonio Spurs,31,New Orleans Pelicans,23,112,97,Pat Fraher,Mitchell Ervin,Dedric Taylor,8,10,
152,9188,2018,2021-12-13T02:00:00.000Z,Moda Center,Portland Trail Blazers,29,Minnesota Timberwolves,22,111,116,Scott Twardoski,Tyler Ford,Jacyn Goble,12,12,
153,9189,2018,2021-12-13T02:30:00.000Z,STAPLES Center,Los Angeles Lakers,17,Orlando Magic,26,106,94,Matt Boland,Sean Wright,Brent Barnaky,2,8,
154,9190,2018,2021-12-14T00:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Miami Heat,20,105,94,Marat Kogut,Josh Tiven,CJ Washington,7,6,
