id,season,date,arena,H_team,A_team_id,A_team,A_team_id,H_score,A_score,ref1,ref2,ref3,ties,leadChange,nugget
8915,2021,2021-11-06T00:00:00.000Z,Target Center,Minnesota Timberwolves,22,LA Clippers,16,84,104,Marat Kogut,Ben Taylor,CJ Washington,2,4,
8916,2021,2021-11-06T02:00:00.000Z,Chase Center,Golden State Warriors,11,New Orleans Pelicans,23,126,85,Leon Wood,David Guthrie,Jacyn Goble,4,6,
8917,2021,2021-11-06T02:00:00.000Z,Moda Center,Portland Trail Blazers,29,Indiana Pacers,15,110,106,Tony Brothers,Sean Corbin,Justin Van Duyne,4,10,
8918,2021,2021-11-06T02:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Charlotte Hornets,5,140,110,Rodney Mott,Tyler Ford,Danielle Scott,0,4,
8919,2021,2021-11-06T21:00:00.000Z,Ball Arena,Denver Nuggets,9,Houston Rockets,14,95,94,Josh Tiven,Lauren Holtkamp,Evan Scott,6,8,
8920,2021,2021-11-06T23:30:00.000Z,FTX Arena,Miami Heat,20,Utah Jazz,40,118,115,Zach Zarba,Ray Acosta,Brandon Adair,6,8,
8921,2021,2021-11-07T00:00:00.000Z,United Center,Chicago Bulls,6,Philadelphia 76ers,27,105,114,Bill Kennedy,Brett Nansel,Dedric Taylor,8,9,
8922,2021,2021-11-07T00:30:00.000Z,American Airlines Center,Dallas Mavericks,8,Boston Celtics,2,107,104,Scott Wall,Tre Maddox,John Butler,1,2,
8923,2021,2021-11-07T02:00:00.000Z,Footprint Center,Phoenix Suns,28,Atlanta Hawks,1,121,117,Karl Lane,Kevin Scott,John Conley,20,13,
8924,2021,2021-11-07T02:30:00.000Z,Moda Center,Portland Trail Blazers,29,Los Angeles Lakers,17,105,90,James Capers,Michael Smith,Andy Nagy,1,0,
8925,2021,2021-11-07T20:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Brooklyn Nets,4,103,116,Brian Forte,Kevin Cutler,Nate Green,8,4,
8926,2021,2021-11-07T23:00:00.000Z,Madison Square Garden,New York Knicks,24,Cleveland Cavaliers,7,109,126,Pat Fraher,Suyash Mehta,Natalie Sago,9,14,
8927,2021,2021-11-07T23:00:00.000Z,Amway Center,Orlando Magic,26,Utah Jazz,40,107,100,Courtney Kirkland,J.T. Orr,CJ Washington,5,7,
8928,2021,2021-11-07T23:00:00.000Z,Capital One Arena,Washington Wizards,41,Milwaukee Bucks,21,101,94,JB DeRosa,Scott Foster,Jonathan Sterling,7,18,
8929,2021,2021-11-07T23:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Indiana Pacers,15,91,94,Sean Wright,Marat Kogut,Mitchell Ervin,3,6,
8930,2021,2021-11-08T00:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,San Antonio Spurs,31,99,94,Bennie Adams,Derrick Collins,James Williams,2,5,
8931,2021,2021-11-08T01:30:00.000Z,Chase Center,Golden State Warriors,11,Houston Rockets,14,120,107,Tony Brothers,Scott Twardoski,Tyler Ford,4,3,
8932,2021,2021-11-08T02:00:00.000Z,STAPLES Center,LA Clippers,16,Charlotte Hornets,5,120,106,David Guthrie,Matt Myers,Jacyn Goble,4,19,
8933,2021,2021-11-09T00:00:00.000Z,Wells Fargo Center,Philadelphia 76ers,27,New York Knicks,24,96,103,Scott Wall,Marc Davis,Brent Barnaky,3,7,
8934,2021,2021-11-09T01:00:00.000Z,United Center,Chicago Bulls,6,Brooklyn Nets,4,118,95,JB DeRosa,Tre Maddox,Brett Nansel,7,8,
8935,2021,2021-11-09T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Minnesota Timberwolves,22,125,118,Leon Wood,Bill Kennedy,Dedric Taylor,15,13,
8936,2021,2021-11-09T01:30:00.000Z,American Airlines Center,Dallas Mavericks,8,New Orleans Pelicans,23,108,92,Mark Lindsay,Nick Buchert,Lauren Holtkamp,4,4,
8937,2021,2021-11-09T02:00:00.000Z,Ball Arena,Denver Nuggets,9,Miami Heat,20,113,96,Michael Smith,Kevin Scott,John Conley,1,4,
8938,2021,2021-11-09T03:00:00.000Z,Chase Center,Golden State Warriors,11,Atlanta Hawks,1,127,113,James Capers,Marat Kogut,Matt Myers,7,8,
8939,2021,2021-11-09T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Phoenix Suns,28,104,109,Josh Tiven,Jacyn Goble,Evan Scott,3,8,
9094,2021,2021-11-30T01:00:00.000Z,Toyota Center,Houston Rockets,14,Oklahoma City Thunder,25,102,89,John Goble,Mitchell Ervin,Tyler Ricks,6,2,
9095,2021,2021-11-30T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Indiana Pacers,15,100,98,Eric Lewis,J.T. Orr,Jonathan Sterling,7,11,
9096,2021,2021-11-30T01:30:00.000Z,American Airlines Center,Dallas Mavericks,8,Cleveland Cavaliers,7,96,114,Marat Kogut,Brent Barnaky,Tyler Ford,4,3,
9097,2021,2021-11-30T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Washington Wizards,41,116,99,Derrick Collins,Courtney Kirkland,Brett Nansel,7,14,
9098,2021,2021-11-30T02:00:00.000Z,Vivint Arena,Utah Jazz,40,Portland Trail Blazers,29,129,107,Josh Tiven,Karl Lane,John Butler,3,3,
9099,2021,2021-11-30T03:30:00.000Z,STAPLES Center,LA Clippers,16,New Orleans Pelicans,23,104,123,Leon Wood,Bennie Adams,Zach Zarba,1,7,
9100,2021,2021-12-01T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,New York Knicks,24,112,110,Scott Foster,Mark Lindsay,Jason Goldenberg,9,17,
9101,2021,2021-12-01T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Memphis Grizzlies,19,91,98,Rodney Mott,Tom Washington,John Conley,0,0,
9102,2021,2021-12-01T03:00:00.000Z,Footprint Center,Phoenix Suns,28,Golden State Warriors,11,104,96,Derek Richardson,Josh Tiven,Karl Lane,10,7,
9103,2021,2021-12-01T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,Detroit Pistons,10,110,92,Kevin Scott,Justin Van Duyne,Gediminas Petraitis,5,6,
9104,2021,2021-12-01T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Los Angeles Lakers,17,92,117,Bill Kennedy,Brian Forte,Mousa Dagher,4,3,
9105,2021,2021-12-02T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Atlanta Hawks,1,111,114,Tony Brothers,Brent Barnaky,Dannica Mosher,7,14,
9106,2021,2021-12-02T00:00:00.000Z,Amway Center,Orlando Magic,26,Denver Nuggets,9,108,103,James Williams,Dedric Taylor,Suyash Mehta,3,1,
9107,2021,2021-12-02T00:00:00.000Z,Capital One Arena,Washington Wizards,41,Minnesota Timberwolves,22,115,107,Sean Wright,Lauren Holtkamp,Brandon Adair,19,21,
9108,2021,2021-12-02T00:30:00.000Z,TD Garden,Boston Celtics,2,Philadelphia 76ers,27,88,87,JB DeRosa,Kane Fitzgerald,Aaron Smith,15,16,
9109,2021,2021-12-02T00:30:00.000Z,FTX Arena,Miami Heat,20,Cleveland Cavaliers,7,85,111,Sean Corbin,David Guthrie,Jonathan Sterling,2,2,
9110,2021,2021-12-02T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Charlotte Hornets,5,127,125,James Capers,Brett Nansel,Natalie Sago,9,13,
9111,2021,2021-12-02T01:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,Dallas Mavericks,8,107,139,Marc Davis,J.T. Orr,Andy Nagy,1,2,
9112,2021,2021-12-02T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Houston Rockets,14,110,114,Zach Zarba,CJ Washington,Mitchell Ervin,2,3,
9113,2021,2021-12-02T03:30:00.000Z,STAPLES Center,LA Clippers,16,Sacramento Kings,30,115,124,Derrick Collins,Courtney Kirkland,Robert Hussey,2,4,
9114,2021,2021-12-03T00:30:00.000Z,Madison Square Garden,New York Knicks,24,Chicago Bulls,6,115,119,Ben Taylor,Tyler Ford,Natalie Sago,7,7,
9115,2021,2021-12-03T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Milwaukee Bucks,21,97,93,Pat Fraher,Curtis Blair,Cheryl Flores,6,8,
9116,2021,2021-12-03T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Oklahoma City Thunder,25,152,79,Josh Tiven,Karl Lane,Evan Scott,0,0,
9117,2021,2021-12-03T02:00:00.000Z,Footprint Center,Phoenix Suns,28,Detroit Pistons,10,114,103,Michael Smith,Eric Lewis,Matt Myers,2,3,
9118,2021,2021-12-03T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,San Antonio Spurs,31,83,114,Brian Forte,Tre Maddox,Phenizee Ransom,0,0,
9119,2021,2021-12-04T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Miami Heat,20,104,113,JB DeRosa,Brett Nansel,James Williams,1,1,
9120,2021,2021-12-04T00:00:00.000Z,Capital One Arena,Washington Wizards,41,Cleveland Cavaliers,7,101,116,Matt Boland,John Goble,CJ Washington,4,4,
9121,2021,2021-12-04T00:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Philadelphia 76ers,27,96,98,David Guthrie,Tyler Ford,Mousa Dagher,3,3,
9122,2021,2021-12-04T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,Minnesota Timberwolves,22,110,105,Kane Fitzgerald,Nick Buchert,Dedric Taylor,10,26,
9123,2021,2021-12-04T01:00:00.000Z,Toyota Center,Houston Rockets,14,Orlando Magic,26,118,116,Sean Wright,Mark Lindsay,Marat Kogut,6,11,
9124,2021,2021-12-04T01:30:00.000Z,American Airlines Center,Dallas Mavericks,8,New Orleans Pelicans,23,91,107,Tony Brothers,Brandon Adair,Jacyn Goble,4,5,
9125,2021,2021-12-04T02:00:00.000Z,Vivint Arena,Utah Jazz,40,Boston Celtics,2,137,130,Leon Wood,Derrick Collins,Courtney Kirkland,12,20,
9126,2021,2021-12-04T03:00:00.000Z,Chase Center,Golden State Warriors,11,Phoenix Suns,28,118,96,Bennie Adams,Bill Kennedy,J.T. Orr,1,3,
9127,2021,2021-12-04T03:00:00.000Z,STAPLES Center,Los Angeles Lakers,17,LA Clippers,16,115,119,Eric Lewis,Kevin Cutler,Justin Van Duyne,3,0,
9128,2021,2021-12-04T18:00:00.000Z,Madison Square Garden,New York Knicks,24,Denver Nuggets,9,99,113,Tom Washington,Brent Barnaky,Andy Nagy,2,0,
9129,2021,2021-12-05T01:00:00.000Z,Barclays Center,Brooklyn Nets,4,Chicago Bulls,6,107,111,Marc Davis,Mitchell Ervin,Gediminas Petraitis,1,5,
9130,2021,2021-12-05T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Miami Heat,20,124,102,Derek Richardson,Tre Maddox,Kevin Scott,0,0,
